Time,Temperature,Rel_Humidity,S1,S2,S3,S4,S5,S6,S7,S8
6.71,20.94,36.01,310,279,503,567,527,647,577,664
6.81,20.94,36.01,310,279,503,567,527,647,577,664
6.91,20.94,36.01,310,280,503,567,527,647,577,664
7.01,20.92,36.05,309,279,503,567,527,647,577,664
7.11,20.92,36.05,310,279,503,567,527,647,577,664
7.19,20.92,36.05,310,280,503,567,527,647,578,664
7.31,20.92,36.05,310,279,504,567,527,647,577,664
7.39,20.92,36.05,310,279,503,567,527,647,577,664
7.51,20.92,36.05,310,279,503,567,527,647,577,664
7.61,20.92,36.05,310,279,503,567,527,647,578,664
7.71,20.92,36.05,312,280,504,567,527,647,578,664
7.79,20.92,36.05,310,280,503,567,527,647,577,664
7.89,20.92,36.05,309,279,503,567,527,647,577,664
8.01,20.92,36.05,310,279,503,567,527,647,578,664
8.11,20.92,36.05,310,279,503,567,527,647,577,664
8.19,20.92,36.05,310,280,503,567,527,647,577,664
8.31,20.92,36.05,309,279,503,567,526,647,577,664
8.41,20.92,36.05,309,279,503,566,526,646,577,664
8.51,20.92,36.05,310,279,503,567,527,646,578,664
8.61,20.92,36.05,310,280,503,567,527,647,577,664
8.71,20.92,36.05,309,279,503,567,526,647,577,664
8.81,20.92,36.05,309,279,504,567,526,647,577,664
8.9,20.92,36.05,310,279,503,567,526,646,577,664
9,20.92,36.08,310,279,503,567,527,647,577,664
9.1,20.92,36.08,310,279,503,567,526,647,578,664
9.2,20.92,36.08,310,279,503,568,526,647,578,664
9.3,20.92,36.08,310,279,503,567,526,646,577,664
9.4,20.92,36.08,310,279,503,567,527,647,577,664
9.5,20.92,36.08,310,279,503,567,526,647,578,664
9.6,20.92,36.08,310,279,504,567,527,646,577,664
9.7,20.92,36.08,310,279,503,567,527,646,578,664
9.8,20.92,36.08,311,279,503,567,527,647,577,664
9.9,20.92,36.08,309,279,503,567,526,646,577,664
10,20.92,36.08,310,279,503,567,527,646,578,664
10.1,20.92,36.08,311,279,503,567,527,647,577,664
10.2,20.92,36.08,310,280,503,567,526,646,577,664
10.3,20.92,36.08,310,279,503,567,527,647,577,665
10.4,20.92,36.08,310,280,503,567,527,647,577,664
10.5,20.92,36.08,310,280,503,568,527,647,577,664
10.61,20.92,36.08,310,279,503,567,527,646,577,664
10.69,20.92,36.08,309,279,503,567,526,646,578,664
10.81,20.92,36.08,310,279,503,566,526,646,577,664
10.91,20.92,36.08,310,279,502,567,527,647,577,664
11,20.92,36.08,309,278,502,567,526,645,578,664
11.09,20.92,36.08,310,278,502,567,527,646,577,664
11.19,20.92,36.08,310,279,503,567,527,646,578,664
11.29,20.92,36.08,309,279,502,567,527,647,578,664
11.41,20.92,36.08,312,279,503,568,527,646,578,664
11.5,20.92,36.08,311,279,502,567,527,646,578,664
11.61,20.92,36.08,310,279,502,568,527,646,578,664
11.7,20.92,36.08,310,279,502,567,527,647,578,664
11.8,20.92,36.08,310,279,503,567,526,646,578,664
11.9,20.92,36.08,310,278,503,568,527,646,577,665
12.01,20.92,36.08,310,279,503,568,527,646,578,665
12.1,20.92,36.08,310,279,502,568,526,646,578,665
12.2,20.92,36.08,310,279,502,567,527,646,578,664
12.3,20.92,36.08,312,279,503,567,526,647,578,664
12.4,20.92,36.08,310,279,503,568,527,646,578,665
12.5,20.92,36.08,310,279,502,567,527,646,578,665
12.6,20.92,36.08,310,279,502,567,526,647,578,665
12.71,20.92,36.08,309,278,502,567,527,646,578,665
12.81,20.92,36.08,311,279,503,568,527,646,578,665
12.91,20.92,36.08,310,278,502,568,527,646,578,665
13,20.92,36.08,310,278,503,568,527,646,578,665
13.1,20.92,36.08,310,279,502,568,527,647,578,665
13.2,20.92,36.08,310,278,503,568,526,646,578,665
13.3,20.92,36.08,310,278,503,568,527,647,578,665
13.4,20.92,36.08,310,279,503,568,527,646,578,665
13.5,20.92,36.08,310,279,503,568,527,646,578,665
13.6,20.92,36.08,310,279,502,568,527,646,578,665
13.7,20.92,36.08,310,279,503,567,527,646,579,665
13.8,20.92,36.08,310,279,502,568,526,647,578,666
13.9,20.92,36.08,310,279,502,568,527,647,578,665
14,20.92,36.08,310,278,502,568,527,646,579,665
14.09,20.92,36.11,310,279,503,568,527,646,579,665
14.21,20.92,36.11,310,278,502,568,527,647,578,666
14.31,20.92,36.11,310,279,502,568,527,646,579,666
14.41,20.92,36.11,310,278,502,568,527,646,578,666
14.51,20.92,36.11,310,278,502,568,527,647,579,666
14.61,20.92,36.11,310,279,502,568,527,646,579,666
14.7,20.92,36.11,309,279,502,568,527,647,579,666
14.8,20.92,36.11,312,279,503,568,527,646,579,666
14.9,20.92,36.11,310,278,502,568,527,646,579,666
15,20.92,36.11,310,278,503,568,527,646,579,666
15.1,20.92,36.08,310,278,502,568,527,647,579,666
15.2,20.92,36.08,310,279,503,568,527,646,579,666
15.31,20.92,36.08,310,279,503,569,527,647,579,667
15.39,20.92,36.08,310,279,503,568,527,647,579,666
15.51,20.92,36.08,310,278,503,568,527,647,579,666
15.61,20.92,36.08,310,279,503,568,527,647,579,667
15.71,20.92,36.08,310,279,502,569,527,647,579,667
15.81,20.92,36.08,310,279,502,569,527,647,579,666
15.9,20.92,36.08,310,278,503,569,526,647,579,666
16,20.92,36.08,310,278,503,568,527,647,579,667
16.1,20.92,36.08,310,278,502,568,527,647,580,667
16.2,20.92,36.08,310,278,503,568,527,647,579,666
16.3,20.92,36.08,310,279,503,569,527,647,579,667
16.4,20.92,36.08,310,279,502,569,527,646,579,667
16.5,20.92,36.08,311,278,503,569,527,647,580,667
16.6,20.92,36.08,310,279,502,569,527,646,580,667
16.7,20.92,36.08,310,278,503,569,527,647,580,667
16.8,20.92,36.08,310,278,503,569,527,647,579,667
16.9,20.92,36.08,310,279,502,568,527,647,580,667
17,20.92,36.08,310,278,502,569,527,647,579,667
17.09,20.93,36.11,310,278,503,568,527,647,579,667
17.2,20.93,36.11,310,278,502,569,527,647,580,668
17.29,20.93,36.11,310,278,502,569,527,647,580,668
17.39,20.93,36.11,310,279,502,569,527,647,580,668
17.5,20.93,36.11,310,278,502,570,528,647,580,667
17.61,20.93,36.11,310,278,503,569,527,647,579,668
17.71,20.93,36.11,310,279,502,569,527,647,580,668
17.79,20.93,36.11,310,278,502,569,527,647,580,668
17.89,20.93,36.11,310,279,502,569,527,647,580,668
18.01,20.93,36.11,310,278,503,569,527,647,580,668
18.11,20.92,36.01,310,278,502,569,528,647,580,668
18.21,20.92,36.01,310,278,503,569,528,647,580,668
18.29,20.92,36.01,310,278,502,569,527,647,580,668
18.41,20.92,36.01,309,278,502,569,528,647,580,669
18.49,20.92,36.01,311,279,503,569,527,647,580,668
18.59,20.92,36.01,310,278,502,569,527,647,580,668
18.7,20.92,36.01,312,279,502,569,528,647,580,668
18.8,20.92,36.01,310,278,502,569,527,647,580,668
18.9,20.92,36.01,312,279,502,569,527,647,580,668
19,20.92,36.01,310,278,503,569,527,647,580,669
19.1,20.92,36.01,312,278,502,570,527,647,580,668
19.2,20.92,36.01,310,279,503,569,527,647,580,669
19.3,20.92,36.01,310,279,502,569,527,647,580,668
19.4,20.92,36.01,310,278,502,569,528,648,580,668
19.5,20.92,36.01,309,279,502,570,527,647,580,669
19.59,20.92,36.01,311,278,502,569,527,647,580,668
19.7,20.92,36.01,310,278,502,569,528,648,581,669
19.8,20.92,36.01,310,278,502,570,528,647,580,669
19.9,20.92,36.01,310,279,502,570,528,647,581,669
20,20.92,36.01,310,278,503,570,527,648,580,669
20.1,20.92,36.01,310,278,502,570,528,647,580,668
20.2,20.92,36.01,312,278,502,570,528,647,580,669
20.31,20.92,36.01,310,278,502,570,528,647,580,669
20.4,20.92,36.01,310,278,502,570,527,647,580,669
20.5,20.92,36.01,309,278,502,569,527,647,580,669
20.6,20.92,36.01,310,278,502,570,528,648,580,668
20.71,20.92,36.01,310,278,502,570,528,647,581,669
20.81,20.92,36.01,310,278,502,570,527,647,580,669
20.91,20.92,36.01,310,278,502,570,528,648,580,669
21.01,20.92,36.01,310,278,502,570,528,647,581,669
21.11,20.92,36.01,310,278,502,570,528,647,581,670
21.21,20.93,35.98,310,278,503,570,527,647,581,670
21.31,20.93,35.98,310,278,502,570,527,647,581,670
21.41,20.93,35.98,310,278,502,570,527,647,581,670
21.51,20.93,35.98,310,278,502,570,527,648,580,669
21.61,20.93,35.98,309,278,501,570,528,648,580,669
21.71,20.93,35.98,310,278,502,570,528,648,581,669
21.81,20.93,35.98,310,278,502,570,528,648,581,669
21.91,20.93,35.98,310,278,502,570,528,647,580,669
22.01,20.93,35.98,312,278,502,570,528,647,581,670
22.11,20.93,35.98,311,278,502,570,528,647,581,670
22.21,20.93,36.01,310,278,502,571,528,648,581,670
22.31,20.93,36.01,310,278,502,570,528,648,581,670
22.41,20.93,36.01,311,278,503,571,528,648,581,670
22.51,20.93,36.01,310,278,502,570,528,648,581,670
22.61,20.93,36.01,309,278,502,570,528,648,580,670
22.7,20.93,36.01,310,278,502,570,528,648,581,670
22.8,20.93,36.01,310,278,502,570,528,648,581,670
22.89,20.93,36.01,310,278,501,571,528,647,581,670
23.01,20.93,36.01,310,278,502,571,528,647,581,670
23.09,20.93,36.01,310,278,501,570,528,648,580,670
23.2,20.92,35.94,311,278,502,570,528,647,581,670
23.31,20.92,35.94,310,278,502,570,528,647,581,670
23.41,20.92,35.94,310,278,502,571,528,647,580,670
23.5,20.92,35.94,310,278,502,571,528,648,581,670
23.61,20.92,35.94,310,278,502,571,528,648,581,670
23.7,20.92,35.94,310,278,502,571,528,648,581,670
23.8,20.92,35.94,310,277,502,571,528,648,581,671
23.9,20.92,35.94,310,278,501,570,528,648,581,670
24,20.92,35.94,309,278,501,570,528,648,581,670
24.1,20.92,35.94,310,278,502,571,528,648,581,670
24.21,20.92,35.94,310,278,502,571,528,648,581,670
24.31,20.92,35.94,310,278,502,571,528,648,581,671
24.4,20.92,35.94,310,278,501,571,528,648,581,671
24.51,20.92,35.94,310,278,502,571,528,648,581,671
24.61,20.92,35.94,310,278,501,571,528,648,581,671
24.71,20.92,35.94,309,277,501,571,528,648,581,671
24.81,20.92,35.94,310,278,501,571,528,648,581,671
24.89,20.92,35.94,310,278,502,571,529,648,581,670
24.99,20.92,35.94,310,278,501,571,528,648,582,670
25.09,20.92,35.94,309,278,501,571,528,648,581,671
25.21,20.92,35.94,310,278,502,571,528,648,581,671
25.31,20.94,35.91,309,278,502,570,528,648,581,670
25.41,20.94,35.91,310,278,501,570,528,648,581,670
25.51,20.94,35.91,310,277,501,571,528,648,581,670
25.6,20.94,35.91,310,277,502,570,528,648,581,670
25.7,20.94,35.91,310,278,501,571,528,648,581,670
25.8,20.94,35.91,309,277,502,571,528,648,581,670
25.9,20.94,35.91,310,277,502,571,528,648,581,670
26,20.94,35.91,312,277,501,571,528,648,581,670
26.1,20.94,35.91,310,278,502,571,529,649,581,670
26.2,20.94,35.91,310,277,501,571,528,648,581,671
26.3,20.94,35.94,311,277,501,571,528,648,581,671
26.4,20.94,35.94,311,278,501,571,528,648,581,671
26.5,20.94,35.94,310,278,502,571,528,648,581,670
26.6,20.94,35.94,310,278,501,571,528,648,582,671
26.71,20.94,35.94,312,278,501,571,528,649,582,671
26.79,20.94,35.94,310,277,502,571,528,648,581,671
26.91,20.94,35.94,309,277,502,571,528,648,582,671
26.99,20.94,35.94,310,277,501,571,528,648,581,671
27.11,20.94,35.94,310,277,501,571,528,648,581,671
27.21,20.94,35.94,310,277,501,571,529,648,582,671
27.3,20.95,35.88,310,277,501,572,529,649,581,671
27.4,20.95,35.88,311,277,501,571,528,648,582,671
27.5,20.95,35.88,310,277,501,571,528,649,581,671
27.6,20.95,35.88,310,278,502,572,528,648,582,671
27.71,20.95,35.88,310,277,502,571,528,648,581,671
27.8,20.95,35.88,310,277,501,571,528,648,582,671
27.9,20.95,35.88,310,278,501,571,528,648,582,671
28,20.95,35.88,310,277,501,571,528,649,581,671
28.1,20.95,35.88,310,277,501,571,528,649,582,671
28.21,20.95,35.88,310,278,502,571,529,649,581,671
28.31,20.92,35.87,311,277,501,571,529,649,582,671
28.41,20.92,35.87,310,278,502,571,528,648,581,672
28.49,20.92,35.87,310,277,501,571,528,649,582,672
28.61,20.92,35.87,310,278,502,571,529,648,582,671
28.69,20.92,35.87,309,277,501,571,528,649,581,671
28.81,20.92,35.87,309,277,501,571,528,649,581,671
28.91,20.92,35.87,310,277,501,571,528,648,581,671
28.99,20.92,35.87,310,277,501,571,528,648,581,671
29.1,20.92,35.87,310,277,501,571,528,649,581,671
29.21,20.92,35.87,311,277,501,571,528,649,582,671
29.3,20.92,35.84,309,277,501,571,529,649,582,672
29.4,20.92,35.84,310,278,502,571,528,648,581,671
29.5,20.92,35.84,309,277,501,571,528,649,582,671
29.61,20.92,35.84,309,277,501,571,528,649,581,671
29.7,20.92,35.84,310,277,501,572,529,648,581,671
29.8,20.92,35.84,309,277,501,571,528,648,582,671
29.91,20.92,35.84,310,277,501,571,528,648,582,671
30,20.92,35.84,312,277,501,570,528,649,582,671
30.09,20.92,35.84,310,277,501,571,529,648,582,671
30.21,20.92,35.84,309,277,501,571,528,649,581,671
30.3,20.93,35.88,311,277,501,571,528,649,582,671
30.39,20.93,35.88,311,277,501,571,529,649,582,671
30.49,20.93,35.88,310,277,501,571,528,648,582,672
30.6,20.93,35.88,310,277,501,571,528,649,582,671
30.7,20.93,35.88,310,277,501,571,528,649,582,671
30.8,20.93,35.88,309,276,501,572,528,649,582,671
30.9,20.93,35.88,310,278,501,571,529,649,582,672
31,20.93,35.88,310,277,501,571,528,648,582,671
31.1,20.93,35.88,310,277,501,571,528,649,583,671
31.2,20.93,35.88,310,277,501,571,528,648,582,672
31.3,20.93,35.88,309,277,501,571,528,649,582,671
31.4,20.92,35.87,309,277,501,571,528,649,582,671
31.5,20.92,35.87,310,278,501,571,528,648,582,671
31.6,20.92,35.87,310,278,500,571,528,649,582,671
31.71,20.92,35.87,309,277,501,571,529,648,582,671
31.8,20.92,35.87,310,277,501,572,528,649,582,672
31.9,20.92,35.87,309,277,501,571,528,648,582,672
32,20.92,35.87,312,277,502,572,529,648,582,672
32.09,20.92,35.87,310,277,501,571,529,648,582,672
32.2,20.92,35.87,309,277,501,571,528,648,582,671
32.31,20.92,35.87,310,277,500,571,528,649,582,671
32.41,20.9,35.81,309,277,501,572,528,648,582,672
32.51,20.9,35.81,309,276,501,572,528,648,582,671
32.61,20.9,35.81,311,277,501,571,529,649,582,671
32.71,20.9,35.81,310,277,501,571,528,648,582,671
32.81,20.9,35.81,309,277,500,571,528,648,582,672
32.9,20.9,35.81,311,277,501,571,528,649,582,672
33,20.9,35.81,310,277,500,571,529,649,582,672
33.1,20.9,35.81,309,276,500,571,528,648,582,672
33.21,20.9,35.81,310,277,501,572,528,649,582,672
33.31,20.9,35.81,310,277,502,571,528,649,583,672
33.41,20.91,35.81,309,277,501,571,528,649,582,672
33.5,20.91,35.81,309,277,501,571,528,649,582,672
33.61,20.91,35.81,310,277,501,571,529,649,582,672
33.71,20.91,35.81,311,277,502,572,529,648,583,672
33.79,20.91,35.81,309,277,501,571,529,649,583,672
33.91,20.91,35.81,311,276,500,571,529,649,583,671
34,20.91,35.81,312,277,501,572,529,649,582,671
34.09,20.91,35.81,309,277,501,571,528,649,582,672
34.21,20.91,35.81,312,277,500,572,528,649,582,671
34.31,20.91,35.81,310,276,501,571,529,649,583,672
34.41,20.92,35.88,309,276,501,571,528,649,582,672
34.51,20.92,35.88,309,276,500,571,528,649,582,672
34.6,20.92,35.88,310,276,501,572,528,649,583,672
34.71,20.92,35.88,309,276,500,572,528,649,582,671
34.81,20.92,35.88,309,276,501,571,528,648,583,672
34.91,20.92,35.88,309,276,500,571,528,649,583,672
34.99,20.92,35.88,310,277,501,571,528,648,582,672
35.1,20.92,35.88,311,277,501,571,529,648,583,671
35.2,20.92,35.88,309,276,500,571,528,648,582,672
35.3,20.92,35.88,309,276,501,571,529,648,582,672
35.4,20.92,35.81,309,277,500,571,529,649,583,672
35.5,20.92,35.81,309,277,500,571,528,649,582,672
35.6,20.92,35.81,309,277,501,571,529,649,582,672
35.7,20.92,35.81,309,276,501,571,528,648,583,672
35.81,20.92,35.81,309,276,500,571,529,648,583,672
35.91,20.92,35.81,312,277,500,572,529,649,583,671
36.01,20.92,35.81,309,277,501,572,528,649,582,672
36.09,20.92,35.81,309,276,501,571,529,648,582,672
36.2,20.92,35.81,310,276,500,571,528,649,582,671
36.3,20.92,35.81,309,276,500,571,528,649,582,672
36.4,20.92,35.84,309,277,500,571,528,649,583,672
36.5,20.92,35.84,309,276,500,571,528,649,583,671
36.6,20.92,35.84,309,277,501,572,528,648,582,671
36.7,20.92,35.84,309,276,500,571,529,649,583,671
36.8,20.92,35.84,312,276,500,572,528,648,583,672
36.91,20.92,35.84,310,277,501,571,529,649,582,672
37.01,20.92,35.84,309,276,501,572,529,648,583,672
37.09,20.92,35.84,310,277,501,572,528,648,583,672
37.21,20.92,35.84,310,277,500,572,529,649,582,672
37.31,20.92,35.84,310,276,500,572,528,648,582,672
37.4,20.92,35.84,309,277,501,572,529,649,582,671
37.51,20.92,35.81,309,277,500,572,528,648,582,672
37.61,20.92,35.81,310,276,500,571,528,648,582,672
37.71,20.92,35.81,310,276,500,571,528,649,582,671
37.81,20.92,35.81,309,276,500,571,528,649,583,672
37.91,20.92,35.81,309,276,500,571,528,649,583,672
38.01,20.92,35.81,310,276,500,571,528,649,582,672
38.11,20.92,35.81,309,276,499,571,529,649,582,672
38.21,20.92,35.81,309,277,500,572,528,648,583,672
38.31,20.92,35.81,309,276,500,572,528,648,582,672
38.41,20.92,35.81,309,277,500,572,528,649,582,672
38.5,20.92,35.81,309,276,500,571,528,648,583,671
38.6,20.92,35.81,311,277,501,572,528,649,582,672
38.7,20.92,35.81,309,276,500,571,528,649,582,672
38.8,20.92,35.81,309,276,500,571,529,649,582,671
38.9,20.92,35.81,309,276,500,571,528,648,583,672
39,20.92,35.81,311,277,500,571,528,649,583,672
39.1,20.92,35.81,310,276,500,571,528,649,583,672
39.2,20.92,35.81,309,276,500,572,528,648,583,671
39.3,20.92,35.81,312,276,500,571,529,649,582,672
39.4,20.92,35.81,311,276,500,571,529,649,583,672
39.51,20.93,35.77,310,276,500,571,529,649,583,671
39.59,20.93,35.77,310,276,500,571,529,648,583,672
39.69,20.93,35.77,309,276,500,571,529,649,582,672
39.79,20.93,35.77,310,276,500,571,528,649,583,671
39.9,20.93,35.77,310,276,501,572,529,649,583,672
39.99,20.93,35.77,309,277,500,571,529,648,582,672
40.1,20.93,35.77,309,276,501,571,528,648,583,672
40.2,20.93,35.77,309,276,500,571,528,649,582,672
40.3,20.93,35.77,309,276,500,572,528,649,582,672
40.4,20.93,35.77,310,276,500,571,529,648,582,672
40.5,20.93,35.77,309,277,500,571,529,649,583,672
40.6,20.93,35.77,309,277,499,571,528,649,582,672
40.7,20.93,35.77,309,277,500,571,528,649,583,672
40.8,20.93,35.77,310,276,500,571,528,648,583,672
40.91,20.93,35.77,310,276,500,571,528,649,583,672
40.99,20.93,35.77,309,276,500,571,528,649,582,672
41.09,20.93,35.77,310,276,500,571,528,649,583,672
41.21,20.93,35.77,309,276,500,571,528,649,583,672
41.31,20.93,35.77,309,277,499,572,528,649,583,672
41.4,20.93,35.77,310,277,500,571,529,649,582,672
41.5,20.93,35.77,309,276,499,571,528,649,583,672
41.6,20.93,35.77,309,276,500,572,528,649,583,671
41.7,20.93,35.77,310,276,500,571,528,649,582,671
41.8,20.93,35.77,309,276,500,571,528,648,583,672
41.9,20.93,35.77,309,276,500,572,529,648,583,672
42,20.93,35.77,309,276,500,571,528,649,582,672
42.11,20.93,35.77,309,276,500,572,528,649,583,672
42.21,20.93,35.77,310,276,500,571,528,649,583,672
42.29,20.93,35.77,311,276,500,571,528,649,583,672
42.41,20.93,35.77,309,276,500,572,528,649,583,672
42.51,20.93,35.74,309,276,500,571,528,649,583,672
42.6,20.93,35.74,310,276,500,571,528,649,583,672
42.7,20.93,35.74,309,276,500,571,529,648,583,672
42.8,20.93,35.74,309,275,500,572,529,649,583,672
42.9,20.93,35.74,309,276,500,571,529,649,583,672
43,20.93,35.74,310,276,500,571,529,649,582,672
43.1,20.93,35.74,309,275,500,571,529,649,583,672
43.2,20.93,35.74,309,276,500,571,528,649,583,672
43.3,20.93,35.74,310,276,499,571,528,648,583,671
43.4,20.93,35.74,310,276,500,571,529,649,583,672
43.5,20.93,35.74,309,276,500,572,528,648,583,672
43.6,20.92,35.74,309,275,500,571,529,649,583,672
43.7,20.92,35.74,309,276,500,572,528,649,583,671
43.8,20.92,35.74,310,276,499,571,528,649,583,672
43.9,20.92,35.74,309,276,499,571,528,649,582,672
44,20.92,35.74,309,276,500,571,529,649,583,672
44.1,20.92,35.74,311,276,500,571,529,649,583,672
44.2,20.92,35.74,309,276,500,571,528,649,583,672
44.3,20.92,35.74,310,276,500,571,529,649,583,672
44.4,20.92,35.74,309,276,500,572,528,649,582,672
44.51,20.92,35.74,309,275,499,571,529,648,583,672
44.61,20.93,35.74,309,276,500,571,528,649,583,672
44.71,20.93,35.74,309,276,499,571,528,649,583,672
44.81,20.93,35.74,309,275,499,571,528,649,583,672
44.91,20.93,35.74,310,276,500,571,529,649,583,672
45.01,20.93,35.74,309,275,499,571,528,649,583,672
45.11,20.93,35.74,312,275,499,571,529,649,583,672
45.21,20.93,35.74,309,276,500,572,529,649,582,671
45.31,20.93,35.74,311,276,500,571,529,648,583,672
45.41,20.93,35.74,309,276,499,571,528,649,583,672
45.5,20.93,35.74,309,275,500,571,528,649,582,672
45.6,20.93,35.74,309,275,499,571,529,649,583,672
45.7,20.93,35.74,311,276,500,571,528,649,583,672
45.8,20.93,35.74,310,276,500,571,529,649,582,672
45.9,20.93,35.74,309,276,499,571,529,649,583,672
46,20.93,35.74,310,276,499,571,528,649,582,672
46.1,20.93,35.74,309,276,499,571,529,649,582,672
46.19,20.93,35.74,309,275,499,572,529,649,583,672
46.3,20.93,35.74,311,275,500,571,528,649,583,671
46.4,20.93,35.74,310,275,500,571,528,649,582,672
46.49,20.93,35.74,309,275,499,571,528,649,583,672
46.6,20.92,35.81,309,275,499,571,528,649,583,671
46.7,20.92,35.81,309,275,500,571,529,649,582,672
46.8,20.92,35.81,309,275,500,571,529,649,582,671
46.89,20.92,35.81,310,276,500,571,528,649,582,672
46.99,20.92,35.81,309,275,499,571,528,649,582,671
47.1,20.92,35.81,310,276,499,572,528,649,583,672
47.2,20.92,35.81,310,275,499,571,529,649,583,672
47.3,20.92,35.81,310,275,500,572,528,649,583,672
47.4,20.92,35.81,311,275,500,571,528,649,583,672
47.5,20.92,35.81,309,276,500,571,529,649,583,672
47.6,20.92,35.81,309,275,499,571,529,649,583,672
47.7,20.92,35.81,309,275,500,571,529,649,583,671
47.8,20.92,35.81,310,275,499,571,529,650,583,672
47.9,20.92,35.81,310,275,499,571,529,649,583,672
48,20.92,35.81,309,275,500,571,529,649,583,672
48.1,20.92,35.81,311,275,500,572,529,649,582,672
48.2,20.92,35.81,309,275,500,572,529,649,583,672
48.3,20.92,35.81,309,275,499,572,529,649,583,672
48.4,20.92,35.81,309,275,499,571,529,649,583,672
48.5,20.92,35.81,311,275,500,572,528,649,583,672
48.6,20.92,35.77,309,275,499,571,529,648,583,672
48.7,20.92,35.77,310,275,499,572,529,649,583,672
48.8,20.92,35.77,309,275,500,571,529,649,582,671
48.9,20.92,35.77,309,275,500,572,529,648,583,672
49.01,20.92,35.77,309,276,499,571,529,649,583,672
49.11,20.92,35.77,309,275,499,571,529,649,583,672
49.21,20.92,35.77,309,276,499,571,528,649,583,672
49.31,20.92,35.77,310,276,499,571,529,649,583,672
49.4,20.92,35.77,312,275,499,571,529,649,582,672
49.5,20.92,35.77,310,276,500,572,528,650,583,672
49.61,20.92,35.74,309,275,499,571,529,649,583,672
49.71,20.92,35.74,310,275,500,572,528,649,583,672
49.81,20.92,35.74,309,275,499,572,528,649,583,672
49.91,20.92,35.74,309,276,500,571,528,649,583,672
50.01,20.92,35.74,310,275,500,572,528,649,582,672
50.11,20.92,35.74,311,276,499,571,528,649,583,672
50.21,20.92,35.74,311,275,500,572,529,649,583,671
50.31,20.92,35.74,309,275,499,572,529,649,583,672
50.41,20.92,35.74,309,275,499,571,528,649,583,672
50.49,20.92,35.74,309,275,499,572,528,649,583,672
50.6,20.92,35.74,309,276,499,571,529,649,583,672
50.71,20.92,35.74,309,275,499,571,529,649,582,671
50.81,20.92,35.74,309,275,500,571,528,649,583,672
50.91,20.92,35.74,309,275,499,571,528,649,583,672
50.99,20.92,35.74,309,275,499,572,529,649,582,671
51.11,20.92,35.74,309,275,499,572,528,649,582,672
51.2,20.92,35.74,309,275,500,571,529,649,583,672
51.29,20.92,35.74,309,275,499,571,528,649,583,672
51.41,20.92,35.74,309,275,499,571,529,649,583,672
51.51,20.92,35.74,310,275,499,571,529,649,583,672
51.59,20.92,35.74,308,275,499,571,529,648,583,672
51.71,20.92,35.74,309,275,499,571,528,649,583,672
51.8,20.92,35.74,309,275,499,572,528,649,582,672
51.91,20.92,35.74,309,275,499,571,528,649,583,672
52.01,20.92,35.74,309,275,500,571,529,649,583,672
52.09,20.92,35.74,311,275,499,571,529,649,583,672
52.21,20.92,35.74,308,275,499,571,528,649,583,672
52.31,20.92,35.74,309,275,499,571,528,649,582,672
52.41,20.92,35.74,309,275,498,571,528,649,583,672
52.51,20.92,35.74,308,275,500,571,528,649,583,672
52.61,20.92,35.74,309,275,499,572,529,649,582,672
52.71,20.91,35.67,309,275,499,571,529,649,583,672
52.81,20.91,35.67,310,275,499,571,528,649,582,672
